 2,500 Japanese  students in Osaka  protest against Iraq  war	Japanese PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-7" latLong="36.000°N 138.000°E" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-12" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Osaka PLACE country="JP" form="NAM" gazref="IGDB:19759095" id="Pl-6" latLong="34.667°N 135.500°E" state="JP-27" type="PPLA"	Iraq 33.0 44.0 iq_00,Osaka 34.69374084472656 135.50218200683594 jp_32,
Under Davies's watch, the FSA became Britain 's sole regulatory body for financial services in November 2001, taking on the various functions of nine separate agencies.	Britain PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-3" latLong="54.000°N 4.000°W" type="COUNTRY"	
  Russia  hints "peace camp" alliance with Germany  and France  is dying	France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-22" latLong="46.000°N 2.000°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-18" latLong="60.000°N 100.000°E" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-19" latLong="51.500°N 10.500°E" type="COUNTRY"	France 46.0 2.0 fr_00,Germany 51.5 10.5 de_00,
MOSCOW , April 13 (AFP) Russian President Vladimir Putin's summit with the leaders of Germany and France may have been a failure that proves there can be no long-term "peace camp" alliance following the end of war in Iraq , government sources were quoted as saying at the weekend.	MOSCOW PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-1" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-25" latLong="46.000°N 2.000°E" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-21" latLong="51.500°N 10.500°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"	France 46.0 2.0 fr_00,MOSCOW 55.752220153808594 37.61555862426758 ru_48,Germany 51.5 10.5 de_00,Iraq 33.0 44.0 iq_00,
"Senior government officials, speaking in the corridors of power in Moscow , have no illusions about any long-term perspectives for the ( Russian - German - French ) axis," the respected Izvestia daily reported.	Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",French PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-26" latLong="46.000°N 2.000°E" predicative="true" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"	Moscow 55.752220153808594 37.61555862426758 ru_48,
"Sooner or later Iraq will fall and Russia and the United Sates will resume normal relations," the senior Moscow official, who was reported to be close to Putin, told the paper.	Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",United Sates PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-54" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"	Moscow 55.752220153808594 37.61555862426758 ru_48,Iraq 33.0 44.0 iq_00,
"The situation in Iraq does not mean that we intend to get into an argument with the United States ."	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,Iraq 33.0 44.0 iq_00,
The comments indicate that Russia 's nuanced position over the war in Iraq was becoming ever more scrambled, with Putin pushing to protect his budding friendship with US President George W. Bush in the face of strident opposition from the Russian media and other top Kremlin officials.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"	George 51.60110092163086 -1.1240999698638916 gb_eng,Iraq 33.0 44.0 iq_00,
Analysts have long argued that Putin is far keener to preserve friendly relations with the United States than the pro- European , anti-war camps embedded in much of the Russian media and the foreign and defense ministries.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,
Russia 's foreign minister expressed outrage at suggestions from a top Washington official last week that Moscow should forgive the eight billion dollars in Soviet-era debt that Baghdad owes it, as a gesture of good will.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Baghdad PLACE country="IQ" form="NAM" gazref="IGDB:16896419" id="Pl-60" latLong="33.339°N 44.394°E" type="PPLC",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"	Washington 47.500118255615234 -120.50147247314453 us_wa,Moscow 55.752220153808594 37.61555862426758 ru_48,Baghdad 33.340579986572266 44.40087890625 iq_07,
Kommersant business daily joined in, declaring in a furious front-page headline: "The United States is demanding that Russia , France and Germany pay for the Iraqi war."	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-25" latLong="46.000°N 2.000°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-21" latLong="51.500°N 10.500°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,France 46.0 2.0 fr_00,Germany 51.5 10.5 de_00,
This is only the start of a massive US campaign (to decide Iraq 's future finances)."	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
He and his loyal finance minister suggested Friday that Moscow might be prepared to waiver some of the Iraqi debts in return for better Russia - US relations.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"	Moscow 55.752220153808594 37.61555862426758 ru_48,
" Russia has no objections to such a proposal."	Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"	
Putin concluded his two days of talks in Saint Petersburg with Jacques Chirac of France and German Chancellor Gerhard Schroeder on Saturday still urging for a central role for the United Nations in a post-war revival of Iraq .	Saint Petersburg PLACE country="RU" form="NAM" gazref="IGDB:17003662" id="Pl-63" latLong="59.894°N 30.264°E" state="RU-SPE" type="PPLA",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-25" latLong="46.000°N 2.000°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"	France 46.0 2.0 fr_00,Schroeder -26.374940872192383 -49.06272888183594 br_26,Saint Petersburg 59.894439697265625 30.264169692993164 ru_66,Iraq 33.0 44.0 iq_00,
The call reflected the insistent demand made by the three leaders before the US - British invasion of Iraq that UN approval was essential for any mission to topple Iraqi President Saddam Hussein.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-39" latLong="54.000°N 4.000°W" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
But the Saint Petersburg summit ended without any formal declaration on Iraq .	Saint Petersburg PLACE country="RU" form="NAM" gazref="IGDB:17003662" id="Pl-63" latLong="59.894°N 30.264°E" state="RU-SPE" type="PPLA",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"	Saint Petersburg 59.894439697265625 30.264169692993164 ru_66,Iraq 33.0 44.0 iq_00,
And diplomats noted that Putin appeared uncomfortable at being so closely associated with the anti- Washington stance of Schroeder and Chirac amid his developing friendship with Bush.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC"	Washington 47.500118255615234 -120.50147247314453 us_wa,Schroeder -26.374940872192383 -49.06272888183594 br_26,
Putin had even secretly invited British Prime Minister Tony Blair, Bush's staunchest backer in the war on Iraq , to attend the pow-wow in Saint Petersburg 's Grand Hotel Europe , although diplomats said Blair turned the offer down.	British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-39" latLong="54.000°N 4.000°W" predicative="true" type="COUNTRY",Saint Petersburg PLACE country="RU" form="NAM" gazref="IGDB:17003662" id="Pl-63" latLong="59.894°N 30.264°E" state="RU-SPE" type="PPLA",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"	Blair 41.54444122314453 -96.1250228881836 us_ne,Saint Petersburg 59.894439697265625 30.264169692993164 ru_66,Iraq 33.0 44.0 iq_00,
It remains to be seen how successful Putin's overtures to Washington will be in the face of the fervent internal hostility to the US war stance.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC"	Washington 47.500118255615234 -120.50147247314453 us_wa,
A senior lawmaker seen as close to the Kremlin ridiculed the United States Sunday for failing to find any weapons of mass destruction in Iraq . "We do not think that America won," said Dmitry Rogozin, the head of the lower house of parliament's foreign affairs committee, told Rossia television.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",America PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-37" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,America 39.7599983215332 -98.5 us_00,Rogozin 44.04999923706055 21.9666690826416 rs_00,Rossia -16.356670379638672 37.546669006347656 mz_09,Iraq 33.0 44.0 iq_00,
And Putin's media aide, Sergei Yastrzhembsky, told Kommersant Russia would not forgive the Iraqi debt.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"	
"( Washington ) should not be so generous at other people's expense," he said.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC"	Washington 47.500118255615234 -120.50147247314453 us_wa,
  Lebanese  Prime Minister Hariri resigns: official statement ATTENTION	Lebanese PLACE country="LB" form="NAM" gazref="IGDB:19193726" id="Pl-3" latLong="33.833°N 35.833°E" type="COUNTRY"	
BEIRUT , April 15 (AFP) Lebanese Prime Minister Rafiq Hariri submitted his resignation Tuesday and it was accepted by President Emile Lahoud, who asked him to stay on in a caretaker role, according to an official statement.	BEIRUT PLACE country="LB" form="NAM" gazref="IGDB:19198454" id="Pl-1" latLong="33.872°N 35.510°E" state="BA" type="PPLC",Lebanese PLACE country="LB" form="NAM" gazref="IGDB:19193726" id="Pl-2" latLong="33.833°N 35.833°E" type="COUNTRY"	BEIRUT 33.888938903808594 35.49441909790039 lb_04,
Hariri submitted his resignation during a 10-minute meeting with the head of state at the Baabda presidential palace , outside the capital .	Baabda PLACE country="LB" form="NAM" gazref="IGDB:19198903" id="Pl-6" latLong="33.833°N 35.533°E" state="JL" type="PPLA",capital PLACE country="LB" form="NOM" gazref="IGDB:19198454" id="Pl-7" latLong="33.872°N 35.510°E" state="BA" type="PPLC"	
Hariri has headed the country 's government for nine of the past 11 years, and highly placed governmental sources said he would probably stay on in the job.	country PLACE country="LB" form="NOM" gazref="IGDB:19193726" id="Pl-5" latLong="33.833°N 35.833°E" type="COUNTRY"	
Under the power-sharing arrangement reached following the end of Lebanon 's 15-year civil war in 1990, the prime ministerial post is always held by a Sunni Muslim and the presidency by a Maronite Christian.	Lebanon PLACE country="LB" form="NAM" gazref="IGDB:19193726" id="Pl-4" latLong="33.833°N 35.833°E" type="COUNTRY"	Lebanon 33.83332824707031 35.83332824707031 lb_00,
 Three hacked to death in India  over witchcraft allegations	India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-5" latLong="20.000°N 77.000°E" type="COUNTRY"	India 20.0 77.0 in_00,
At least three members of a family in India s northeastern state of Tripura were hacked to death by a tribal mob for allegedly practicing witchcraft, police said Thursday.	Tripura PLACE country="IN" form="NAM" gazref="IGDB:17886549" id="Pl-6" latLong="24.000°N 92.000°E" state="IN-TR" type="CIVIL",India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-3" latLong="20.000°N 77.000°E" mod="NE" type="COUNTRY"	Tripura 24.0 92.0 in_26,India 20.0 77.0 in_00,
A spokesman said a group of 25 to 30 armed men Wednesday attacked a house belonging to a village quack doctor in Tultuli , SIGNAL id="S-1" 60 kilometers (38 miles) SIGNAL SIGNAL id="S-2" south SIGNAL of Tripura s state capital Agartala . "The mob dragged out three members of a family and (killed) them with machetes and spears before fleeing the area," the spokesman said by telephone from Agartala .	village PLACE country="IN" form="NOM" id="Pl-13" state="IN-TR" type="PPL",Tripura PLACE country="IN" form="NAM" gazref="IGDB:17886549" id="Pl-6" latLong="24.000°N 92.000°E" state="IN-TR" type="CIVIL",Agartala PLACE country="IN" form="NAM" gazref="IGDB:17911787" id="Pl-12" latLong="23.836°N 91.275°E" state="IN-TR" type="PPLA",Tultuli PLACE country="IN" form="NAM" id="Pl-11" state="IN-TR" type="PPL",house PLACE country="IN" form="NOM" id="Pl-14" type="FAC"	Tripura 24.0 92.0 in_26,Agartala 23.836050033569336 91.27938842773438 in_26,
"It was believed Naotia was a practicing sorcerer and through his black magic he had cast evil spells on villagers, prompting a group within the village to eliminate them," the spokesman said.	village PLACE country="IN" form="NOM" id="Pl-13" state="IN-TR" type="PPL"	
Superstitious beliefs, black magic and demonology are integral to the tribal custom in parts of Tripura and other northeast Indian states.	Tripura PLACE country="IN" form="NAM" gazref="IGDB:17886549" id="Pl-6" latLong="24.000°N 92.000°E" state="IN-TR" type="CIVIL",Indian PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-4" latLong="20.000°N 77.000°E" mod="NE" type="COUNTRY",India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-3" latLong="20.000°N 77.000°E" mod="NE" type="COUNTRY"	Tripura 24.0 92.0 in_26,
  Russia  misplayed Iraq  hand, but damage to US  relations not fatal:	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-4" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-9" latLong="60.000Â°N 100.000Â°E" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-21" latLong="33.000Â°N 44.000Â°E" type="COUNTRY"	US 49.099998474121094 1.966670036315918 fr_a8,Iraq 33.0 44.0 iq_00,
MOSCOW , April 17 (AFP) Silence is golden -- especially when your hand is weak -- top Moscow policy analysts said in an assessment of the fallout from Russia 's vocal opposition to what turned out to be a swift US -led campaign in Iraq .	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-8" predicative="true" type="COUNTRY",MOSCOW PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-29" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-35" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-28" latLong="33.000Â°N 44.000Â°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-20" latLong="60.000Â°N 100.000Â°E" type="COUNTRY"	Moscow 55.752220153808594 37.61555862426758 ru_48,MOSCOW 55.752220153808594 37.61555862426758 ru_48,Iraq 33.0 44.0 iq_00,
Several top diplomacy experts told a Kremlin-run forum that countries like China and India that said little about the conflict before its March 20 launch were already reaping the benefits.	India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-38" latLong="20.000Â°N 77.000Â°E" type="COUNTRY",China PLACE country="CN" form="NAM" gazref="IGDB:18099327" id="Pl-37" latLong="35.000Â°N 105.000Â°E" type="COUNTRY"	China 54.400001525878906 112.48332977294922 ru_11,India 20.0 77.0 in_00,
Some suggested that Russian President Vladimir Putin will now be scrambling to contain the damage to his once-budding friendship with US President George W. Bush because he was poorly advised by his intelligence and defense aides.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-8" predicative="true" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-15" latLong="60.000Â°N 100.000Â°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-20" latLong="60.000Â°N 100.000Â°E" type="COUNTRY"	George 47.07902145385742 -119.85588073730469 us_wa,
One analyst said China -- which like Russia and France wields a UN Security Council veto but never threatened to use it to prevent the war -- recently won its role as chief mediator between the United States and North Korea because other regional powers' confidence in Russia fell as a result of its Iraqi diplomacy.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-3" type="COUNTRY",North Korea PLACE country="KP" form="NAM" gazref="IGDB:19818415" id="Pl-42" latLong="40.000Â°N 127.000Â°E" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-28" latLong="33.000Â°N 44.000Â°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-27" latLong="33.000Â°N 44.000Â°E" predicative="true" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-41" latLong="46.000Â°N 2.000Â°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-20" latLong="60.000Â°N 100.000Â°E" type="COUNTRY",China PLACE country="CN" form="NAM" gazref="IGDB:18099327" id="Pl-37" latLong="35.000Â°N 105.000Â°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,France 46.0 2.0 fr_00,North Korea 40.0 127.0 kp_00,China 35.0 105.0 cn_00,
"We are losing our positions in Asia because ... this failure of a strategic triangle that (Foreign Minister Igor) Ivanov invented with Germany and France ," fumed Andrei Piontkovsky of Moscow 's Center of Strategic Studies.	Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-35" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-41" latLong="46.000Â°N 2.000Â°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-55" latLong="51.500Â°N 10.500Â°E" predicative="true" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-45" latLong="51.500Â°N 10.500Â°E" type="COUNTRY"	France 46.0 2.0 fr_00,Moscow 55.752220153808594 37.61555862426758 ru_48,triangle 38.546791076660156 -77.3366470336914 us_va,Ivanov 53.036109924316406 32.43806076049805 ru_10,Asia 9.550600051879883 122.51640319824219 ph_06,Germany 51.5 10.5 de_00,
