 2,500 Japanese  students in Osaka  protest against Iraq  war	Japanese PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-7" latLong="36.000°N 138.000°E" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-12" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Osaka PLACE country="JP" form="NAM" gazref="IGDB:19759095" id="Pl-6" latLong="34.667°N 135.500°E" state="JP-27" type="PPLA"
MOSCOW , April 13 (AFP) Russian President Vladimir Putin's summit with the leaders of Germany and France may have been a failure that proves there can be no long-term "peace camp" alliance following the end of war in Iraq , government sources were quoted as saying at the weekend.	MOSCOW PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-1" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-25" latLong="46.000°N 2.000°E" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-21" latLong="51.500°N 10.500°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"
"Senior government officials, speaking in the corridors of power in Moscow , have no illusions about any long-term perspectives for the ( Russian - German - French ) axis," the respected Izvestia daily reported.	Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",French PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-26" latLong="46.000°N 2.000°E" predicative="true" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"
"Sooner or later Iraq will fall and Russia and the United Sates will resume normal relations," the senior Moscow official, who was reported to be close to Putin, told the paper.	Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",United Sates PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-54" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"
"The situation in Iraq does not mean that we intend to get into an argument with the United States ."	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"
The comments indicate that Russia 's nuanced position over the war in Iraq was becoming ever more scrambled, with Putin pushing to protect his budding friendship with US President George W. Bush in the face of strident opposition from the Russian media and other top Kremlin officials.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"
Analysts have long argued that Putin is far keener to preserve friendly relations with the United States than the pro- European , anti-war camps embedded in much of the Russian media and the foreign and defense ministries.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-10" latLong="60.000°N 100.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"
Russia 's foreign minister expressed outrage at suggestions from a top Washington official last week that Moscow should forgive the eight billion dollars in Soviet-era debt that Baghdad owes it, as a gesture of good will.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Baghdad PLACE country="IQ" form="NAM" gazref="IGDB:16896419" id="Pl-60" latLong="33.339°N 44.394°E" type="PPLC",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"
Kommersant business daily joined in, declaring in a furious front-page headline: "The United States is demanding that Russia , France and Germany pay for the Iraqi war."	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-25" latLong="46.000°N 2.000°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-21" latLong="51.500°N 10.500°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"
And the popular Gazeta.ru news website stormed: "We should have expected this!	
.. this!.	
. this!..	
This is only the start of a massive US campaign (to decide Iraq 's future finances)."	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"
Yet Putin has been far more reserved.	
He and his loyal finance minister suggested Friday that Moscow might be prepared to waiver some of the Iraqi debts in return for better Russia - US relations.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-5" latLong="55.752°N 37.616°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"
"On the whole the proposal is understandable and legitimate," Putin said.	
" Russia has no objections to such a proposal."	Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"
Putin concluded his two days of talks in Saint Petersburg with Jacques Chirac of France and German Chancellor Gerhard Schroeder on Saturday still urging for a central role for the United Nations in a post-war revival of Iraq .	Saint Petersburg PLACE country="RU" form="NAM" gazref="IGDB:17003662" id="Pl-63" latLong="59.894°N 30.264°E" state="RU-SPE" type="PPLA",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-25" latLong="46.000°N 2.000°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18572019" id="Pl-27" latLong="51.500°N 10.500°E" type="COUNTRY"
The call reflected the insistent demand made by the three leaders before the US - British invasion of Iraq that UN approval was essential for any mission to topple Iraqi President Saddam Hussein.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-39" latLong="54.000°N 4.000°W" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY"
But the Saint Petersburg summit ended without any formal declaration on Iraq .	Saint Petersburg PLACE country="RU" form="NAM" gazref="IGDB:17003662" id="Pl-63" latLong="59.894°N 30.264°E" state="RU-SPE" type="PPLA",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"
And diplomats noted that Putin appeared uncomfortable at being so closely associated with the anti- Washington stance of Schroeder and Chirac amid his developing friendship with Bush.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC"
Putin had even secretly invited British Prime Minister Tony Blair, Bush's staunchest backer in the war on Iraq , to attend the pow-wow in Saint Petersburg 's Grand Hotel Europe , although diplomats said Blair turned the offer down.	British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-39" latLong="54.000°N 4.000°W" predicative="true" type="COUNTRY",Saint Petersburg PLACE country="RU" form="NAM" gazref="IGDB:17003662" id="Pl-63" latLong="59.894°N 30.264°E" state="RU-SPE" type="PPLA",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY"
It remains to be seen how successful Putin's overtures to Washington will be in the face of the fervent internal hostility to the US war stance.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-36" predicative="true" type="COUNTRY",Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC"
A senior lawmaker seen as close to the Kremlin ridiculed the United States Sunday for failing to find any weapons of mass destruction in Iraq . "We do not think that America won," said Dmitry Rogozin, the head of the lower house of parliament's foreign affairs committee, told Rossia television.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-65" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",America PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-37" type="COUNTRY"
"Where are those chemical weapons?" he demanded.	
And Putin's media aide, Sergei Yastrzhembsky, told Kommersant Russia would not forgive the Iraqi debt.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-44" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-45" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-17" latLong="60.000°N 100.000°E" type="COUNTRY"
"( Washington ) should not be so generous at other people's expense," he said.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-59" latLong="38.895°N 77.037°W" state="US-DC" type="PPLC"
  Lebanese  Prime Minister Hariri resigns: official statement ATTENTION	Lebanese PLACE country="LB" form="NAM" gazref="IGDB:19193726" id="Pl-3" latLong="33.833°N 35.833°E" type="COUNTRY"
BEIRUT , April 15 (AFP) Lebanese Prime Minister Rafiq Hariri submitted his resignation Tuesday and it was accepted by President Emile Lahoud, who asked him to stay on in a caretaker role, according to an official statement.	BEIRUT PLACE country="LB" form="NAM" gazref="IGDB:19198454" id="Pl-1" latLong="33.872°N 35.510°E" state="BA" type="PPLC",Lebanese PLACE country="LB" form="NAM" gazref="IGDB:19193726" id="Pl-2" latLong="33.833°N 35.833°E" type="COUNTRY"
Hariri submitted his resignation during a 10-minute meeting with the head of state at the Baabda presidential palace , outside the capital .	Baabda PLACE country="LB" form="NAM" gazref="IGDB:19198903" id="Pl-6" latLong="33.833°N 35.533°E" state="JL" type="PPLA",capital PLACE country="LB" form="NOM" gazref="IGDB:19198454" id="Pl-7" latLong="33.872°N 35.510°E" state="BA" type="PPLC"
The statement did not give any reason for the move, but said Lahoud would begin consultations Wednesday aimed at the formation of a new government.	
Hariri has headed the country 's government for nine of the past 11 years, and highly placed governmental sources said he would probably stay on in the job.	country PLACE country="LB" form="NOM" gazref="IGDB:19193726" id="Pl-5" latLong="33.833°N 35.833°E" type="COUNTRY"
The current government was formed in October 2000.	
Under the power-sharing arrangement reached following the end of Lebanon 's 15-year civil war in 1990, the prime ministerial post is always held by a Sunni Muslim and the presidency by a Maronite Christian.	Lebanon PLACE country="LB" form="NAM" gazref="IGDB:19193726" id="Pl-4" latLong="33.833°N 35.833°E" type="COUNTRY"
Married for the second time, Hariri has five children.	
A businessman whose fortune is estimate at 10 billion dollars, he has interests in banking, real estate, oil and manufacturing.	
He also owns a television and a radio station and a newspaper.	
 Three hacked to death in India  over witchcraft allegations	India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-5" latLong="20.000°N 77.000°E" type="COUNTRY"
At least three members of a family in India s northeastern state of Tripura were hacked to death by a tribal mob for allegedly practicing witchcraft, police said Thursday.	Tripura PLACE country="IN" form="NAM" gazref="IGDB:17886549" id="Pl-6" latLong="24.000°N 92.000°E" state="IN-TR" type="CIVIL",India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-3" latLong="20.000°N 77.000°E" mod="NE" type="COUNTRY"
A spokesman said a group of 25 to 30 armed men Wednesday attacked a house belonging to a village quack doctor in Tultuli , SIGNAL id="S-1" 60 kilometers (38 miles) SIGNAL SIGNAL id="S-2" south SIGNAL of Tripura s state capital Agartala . "The mob dragged out three members of a family and (killed) them with machetes and spears before fleeing the area," the spokesman said by telephone from Agartala .	village PLACE country="IN" form="NOM" id="Pl-13" state="IN-TR" type="PPL",Tripura PLACE country="IN" form="NAM" gazref="IGDB:17886549" id="Pl-6" latLong="24.000°N 92.000°E" state="IN-TR" type="CIVIL",Agartala PLACE country="IN" form="NAM" gazref="IGDB:17911787" id="Pl-12" latLong="23.836°N 91.275°E" state="IN-TR" type="PPLA",Tultuli PLACE country="IN" form="NAM" id="Pl-11" state="IN-TR" type="PPL",house PLACE country="IN" form="NOM" id="Pl-14" type="FAC"
The dead included the quack doctor, 55-year-old Nityalila Naotia, his teenaged son and another member of the family, whom he did not identify.	
"It was believed Naotia was a practicing sorcerer and through his black magic he had cast evil spells on villagers, prompting a group within the village to eliminate them," the spokesman said.	village PLACE country="IN" form="NOM" id="Pl-13" state="IN-TR" type="PPL"
Police have arrested four people in connection with the killings.	
Superstitious beliefs, black magic and demonology are integral to the tribal custom in parts of Tripura and other northeast Indian states.	Tripura PLACE country="IN" form="NAM" gazref="IGDB:17886549" id="Pl-6" latLong="24.000°N 92.000°E" state="IN-TR" type="CIVIL",Indian PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-4" latLong="20.000°N 77.000°E" mod="NE" type="COUNTRY",India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-3" latLong="20.000°N 77.000°E" mod="NE" type="COUNTRY"
Many tribes practice faiths believed to be a mix of black magic and superstition.	
  Russia  misplayed Iraq  hand, but damage to US  relations not fatal:	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-4" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-9" latLong="60.000Â°N 100.000Â°E" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-21" latLong="33.000Â°N 44.000Â°E" type="COUNTRY"
MOSCOW , April 17 (AFP) Silence is golden -- especially when your hand is weak -- top Moscow policy analysts said in an assessment of the fallout from Russia 's vocal opposition to what turned out to be a swift US -led campaign in Iraq .	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-8" predicative="true" type="COUNTRY",MOSCOW PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-29" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-35" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-28" latLong="33.000Â°N 44.000Â°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-20" latLong="60.000Â°N 100.000Â°E" type="COUNTRY"
Several top diplomacy experts told a Kremlin-run forum that countries like China and India that said little about the conflict before its March 20 launch were already reaping the benefits.	India PLACE country="IN" form="NAM" gazref="IGDB:17902205" id="Pl-38" latLong="20.000Â°N 77.000Â°E" type="COUNTRY",China PLACE country="CN" form="NAM" gazref="IGDB:18099327" id="Pl-37" latLong="35.000Â°N 105.000Â°E" type="COUNTRY"
Some suggested that Russian President Vladimir Putin will now be scrambling to contain the damage to his once-budding friendship with US President George W. Bush because he was poorly advised by his intelligence and defense aides.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-8" predicative="true" type="COUNTRY",Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-15" latLong="60.000Â°N 100.000Â°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-20" latLong="60.000Â°N 100.000Â°E" type="COUNTRY"
One analyst said China -- which like Russia and France wields a UN Security Council veto but never threatened to use it to prevent the war -- recently won its role as chief mediator between the United States and North Korea because other regional powers' confidence in Russia fell as a result of its Iraqi diplomacy.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-3" type="COUNTRY",North Korea PLACE country="KP" form="NAM" gazref="IGDB:19818415" id="Pl-42" latLong="40.000Â°N 127.000Â°E" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-28" latLong="33.000Â°N 44.000Â°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-27" latLong="33.000Â°N 44.000Â°E" predicative="true" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-41" latLong="46.000Â°N 2.000Â°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-20" latLong="60.000Â°N 100.000Â°E" type="COUNTRY",China PLACE country="CN" form="NAM" gazref="IGDB:18099327" id="Pl-37" latLong="35.000Â°N 105.000Â°E" type="COUNTRY"
"We are losing our positions in Asia because ... this failure of a strategic triangle that (Foreign Minister Igor) Ivanov invented with Germany and France ," fumed Andrei Piontkovsky of Moscow 's Center of Strategic Studies.	Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-35" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-41" latLong="46.000Â°N 2.000Â°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-55" latLong="51.500Â°N 10.500Â°E" predicative="true" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-45" latLong="51.500Â°N 10.500Â°E" type="COUNTRY"
Negotiations between Washington and Pyongyang on their nuclear dispute have been set for April 23 in Bejing and are widely seen here as a blow to Moscow efforts to stamp authority on the region by organizing such a meeting.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-49" latLong="38.895Â°N 77.037Â°W" state="US-DC" type="PPLC",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-35" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",Bejing PLACE country="CN" form="NAM" gazref="IGDB:18101459" id="Pl-51" latLong="39.929Â°N 116.388Â°E" state="CN-11" type="PPLC",Pyongyang PLACE country="KP" form="NAM" gazref="IGDB:19816541" id="Pl-50" latLong="39.019Â°N 125.755Â°E" state="KP-PYO" type="PPLC"
Meanwhile the European "peace camp" troika finds itself in tricky diplomatic isolation from Washington .	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-49" latLong="38.895Â°N 77.037Â°W" state="US-DC" type="PPLC"
French President Jacques Chirac received only a reserved response when he tried to mend fences by placing a telephone call Tuesday to Bush.	French PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-54" latLong="46.000Â°N 2.000Â°E" predicative="true" type="COUNTRY"
Meanwhile German Chancellor Gerhard Schroeder has not spoken to Bush since several weeks before the start of the war.	German PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-55" latLong="51.500Â°N 10.500Â°E" predicative="true" type="COUNTRY"
But not everyone here agreed that Moscow 's diplomatic relations with Washington had suffered as badly.	Washington PLACE country="US" form="NAM" gazref="IGDB:532871" id="Pl-49" latLong="38.895Â°N 77.037Â°W" state="US-DC" type="PPLC",Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-35" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC"
Most agreed that Russian diplomacy miscalculated and urged Putin to quickly reassess the quality of his advisers.	Russian PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-15" latLong="60.000Â°N 100.000Â°E" predicative="true" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-20" latLong="60.000Â°N 100.000Â°E" type="COUNTRY"
"Our analysis of foreign policy is lacking and often reverts to Cold War stereotypes," said former deputy foreign minister Anatoly Adamishin.	
"We were so proud of forming an antiwar bloc with France and Germany -- but nations have not been forming such blocs for at least 12 years and someone in Moscow should have understood that it was impossible to avert this war."	Moscow PLACE country="RU" form="NAM" gazref="IGDB:17039439" id="Pl-35" latLong="55.752Â°N 37.616Â°E" state="RU-MOS" type="PPLC",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-41" latLong="46.000Â°N 2.000Â°E" type="COUNTRY",German PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-55" latLong="51.500Â°N 10.500Â°E" predicative="true" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-45" latLong="51.500Â°N 10.500Â°E" type="COUNTRY"
